Cost is: 0.0 | 0 to 1
Cost is: 1.0 | 0 to 1 to 2
Cost is: 3.0 | 0 to 1 to 2 to 3
Cost is: 5.0 | 0 to 1 to 2 to 4
Cost is: 9.0 | 0 to 1 to 2 to 4 to 5
Cost is: 10.754887502163468 | 0 to 1 to 2 to 3 to 6
Cost is: 16.75488750216347 | 0 to 1 to 2 to 3 to 6 to 7
Cost is: 17.0 | 0 to 1 to 2 to 4 to 8
Cost is: 25.0 | 0 to 1 to 2 to 4 to 8 to 9
Cost is: 25.609640474436812 | 0 to 1 to 2 to 4 to 5 to 10
Cost is: 35.609640474436816 | 0 to 1 to 2 to 4 to 5 to 10 to 11
Cost is: 32.2646625064904 | 0 to 1 to 2 to 3 to 6 to 12
Cost is: 44.2646625064904 | 0 to 1 to 2 to 3 to 6 to 12 to 13
Cost is: 43.4063719565667 | 0 to 1 to 2 to 3 to 6 to 7 to 14
Cost is: 57.4063719565667 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15
Cost is: 49.0 | 0 to 1 to 2 to 4 to 8 to 16
Cost is: 65.0 | 0 to 1 to 2 to 4 to 8 to 16 to 17
Cost is: 62.529325012980806 | 0 to 1 to 2 to 4 to 8 to 9 to 18
Cost is: 80.5293250129808 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19
Cost is: 68.82892142331043 | 0 to 1 to 2 to 4 to 5 to 10 to 20
Cost is: 88.82892142331043 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21
Cost is: 84.6633882794471 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22
Cost is: 106.6633882794471 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23
Cost is: 87.28421251514428 | 0 to 1 to 2 to 3 to 6 to 12 to 24
Cost is: 111.28421251514428 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25
Cost is: 105.37037884232461 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26
Cost is: 131.3703788423246 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 27
Cost is: 110.70934086537315 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 28
